IngID,Name,FullName,Hindi,Aliases,Group,State,Kcal,Protein,Carbs,Fat,Fiber,Common,Source
A001,amaranth seed,"Amaranth seed, black",ramdana,ramdana,Cereals and Millets,raw,356.1,14.6,60,5.7,7,yes,IFCT2017
A002,amaranth seed,"Amaranth seed, pale brown",ramdana,,Cereals and Millets,raw,355.9,13.3,61.5,5.6,7.5,variant,IFCT2017
A003,bajra,Bajra,bajra,bajra,Cereals and Millets,raw,348,11,61.8,5.4,11.5,yes,IFCT2017
A004,barley,Barley,jau,jau,Cereals and Millets,raw,315.7,10.9,61.3,1.3,15.6,yes,IFCT2017
A005,jowar,Jowar,jowar,jowar,Cereals and Millets,raw,334.1,10,67.7,1.7,10.2,yes,IFCT2017
A006,maize,"Maize, dry",makka,makka,Cereals and Millets,raw,334.1,8.8,64.8,3.8,12.2,yes,IFCT2017
A007,maize,"Maize, tender, local",makka,,Cereals and Millets,raw,120,3.6,22.7,1.4,3.7,variant,IFCT2017
A008,maize,"Maize, tender, sweet",makka,,Cereals and Millets,raw,96.8,4.2,16.4,1.4,3.3,variant,IFCT2017
A009,quinoa,Quinoa,,,Cereals and Millets,raw,328.4,13.1,53.7,5.5,14.7,yes,IFCT2017
A010,ragi,Ragi,ragi,ragi,Cereals and Millets,raw,320.7,7.2,66.8,1.9,11.2,yes,IFCT2017
A011,rice flakes,Rice flakes,poha,poha,Cereals and Millets,raw,353.7,7.4,76.8,1.1,3.5,yes,IFCT2017
A012,rice puffed,Rice puffed,muramure,muramure,Cereals and Millets,raw,361.9,7.5,77.7,1.6,2.6,yes,IFCT2017
A013,rice,"Rice, raw, brown",chawal,chawal; basmati,Cereals and Millets,raw,353.7,9.2,74.8,1.2,4.4,yes,IFCT2017
A014,rice,"Rice, parboiled, milled",usna chawal,,Cereals and Millets,cooked,351.6,7.8,77.2,0.6,3.7,variant,IFCT2017
A015,rice,"Rice, raw, milled",chawal,,Cereals and Millets,raw,356.4,7.9,78.2,0.5,2.8,variant,IFCT2017
A016,samai,Samai,shavan,shavan,Cereals and Millets,raw,346.3,10.1,65.6,3.9,7.7,yes,IFCT2017
A017,varagu,Varagu,,,Cereals and Millets,raw,331.7,8.9,66.2,2.6,6.4,yes,IFCT2017
A018,wheat flour,"Wheat flour, refined",maida,,Cereals and Millets,raw,351.8,10.4,74.3,0.8,2.8,variant,IFCT2017
A019,wheat flour,"Wheat flour, atta",atta,,Cereals and Millets,raw,320.3,10.6,64.2,1.5,11.4,yes,IFCT2017
A020,wheat,"Wheat, whole",gehun,atta; gehun; whole wheat,Cereals and Millets,raw,321.9,10.6,64.7,1.5,11.2,yes,IFCT2017
A021,wheat,"Wheat, bulgur",dalia,,Cereals and Millets,raw,341.8,10.8,69.1,1.5,8.8,variant,IFCT2017
A022,wheat,"Wheat, semolina",gehun suji,,Cereals and Millets,raw,333.7,11.4,68.4,0.7,9.7,variant,IFCT2017
A023,wheat,"Wheat, vermicelli",siwain,,Cereals and Millets,raw,332.7,9.7,70.4,0.5,9.3,variant,IFCT2017
A024,wheat,"Wheat, vermicelli, roasted",siwain,,Cereals and Millets,cooked,340.1,10.4,71.4,0.5,9.6,variant,IFCT2017
B001,bengal gram,"Bengal gram, dal",chan-ki-dal,chana dal; chana; kala chana; chhole; chole; chickpea; chickpeas; kabuli chana; chan ki dal,Grain Legumes,raw,329.1,21.6,46.7,5.3,15.2,yes,IFCT2017
B002,bengal gram,"Bengal gram, whole","chana, kala chana",,Grain Legumes,raw,287,18.8,39.6,5.1,25.2,variant,IFCT2017
B003,black gram,"Black gram, dal",urad dal,urad dal; urad; kali dal,Grain Legumes,raw,324.1,23.1,51,1.7,11.9,yes,IFCT2017
B004,black gram,"Black gram, whole",chhilke wali urad dal,,Grain Legumes,raw,291.3,22,44,1.6,20.4,variant,IFCT2017
B005,cowpea,"Cowpea, brown",lobia,lobia,Grain Legumes,raw,320.3,20.4,54.6,1.2,11.5,yes,IFCT2017
B006,cowpea,"Cowpea, white",lobia,,Grain Legumes,raw,320.3,21.3,53.8,1.1,11.7,variant,IFCT2017
B007,field bean,"Field bean, black",sem,sem,Grain Legumes,raw,276.1,19.9,43.5,0.9,23.4,yes,IFCT2017
B008,field bean,"Field bean, brown",sem,,Grain Legumes,raw,283,19.9,45.2,1,22.4,variant,IFCT2017
B009,field bean,"Field bean, white",sem,,Grain Legumes,raw,280.4,19.8,44.5,0.9,23,variant,IFCT2017
B010,green gram,"Green gram, dal",mug dal,moong dal; moong; mung; mung dal; mug dal,Grain Legumes,raw,325.8,23.9,52.6,1.4,9.4,yes,IFCT2017
B011,green gram,"Green gram, whole",mung,,Grain Legumes,raw,293.7,22.5,46.1,1.1,17,variant,IFCT2017
B012,horse gram,"Horse gram, whole",kulthi,kulthi,Grain Legumes,raw,329.6,21.7,57.2,0.6,7.9,yes,IFCT2017
B013,lentil dal,Lentil dal,masoor dal,masoor dal,Grain Legumes,raw,322.4,24.4,52.5,0.8,10.4,yes,IFCT2017
B014,lentil whole,"Lentil whole, brown",masur dal,masur dal,Grain Legumes,raw,299,22.5,48.5,0.6,16.8,yes,IFCT2017
B015,lentil whole,"Lentil whole, yellowish",masur dal,,Grain Legumes,raw,297.8,22.9,47.9,0.6,16.7,variant,IFCT2017
B016,moth bean,Moth bean,motha,motha,Grain Legumes,raw,308.6,19.8,52.1,1.8,15.1,yes,IFCT2017
B017,peas,"Peas, dry",sukhi matar,matar; sukhi matar,Grain Legumes,raw,303.3,20.4,48.9,1.9,17,yes,IFCT2017
B018,rajmah,"Rajmah, black",rajmah,,Grain Legumes,raw,298,19,49.6,1.6,17.7,variant,IFCT2017
B019,rajmah,"Rajmah, brown",rajmah,,Grain Legumes,raw,297.6,19.5,48.8,1.7,17,variant,IFCT2017
B020,rajmah,"Rajmah, red",rajmah,rajmah,Grain Legumes,raw,299.2,19.9,48.6,1.8,16.6,yes,IFCT2017
B021,red gram,"Red gram, dal",,toor dal; tur dal; arhar dal; arhar; pigeon pea,Grain Legumes,raw,330.8,21.7,55.2,1.6,9.1,yes,IFCT2017
B022,red gram,"Red gram, whole",arhar sabud,,Grain Legumes,raw,273.9,20.5,42.5,1.4,22.8,variant,IFCT2017
B023,ricebean,Ricebean,meth,meth,Grain Legumes,raw,302.3,20,51.3,0.7,13.4,yes,IFCT2017
B024,soya bean,"Soya bean, brown",bhatmas,bhatmas,Grain Legumes,raw,381.5,35.6,12.8,19.8,21.6,yes,IFCT2017
B025,soya bean,"Soya bean, white",bhatmas,,Grain Legumes,raw,377.4,37.8,10.2,19.4,22.6,variant,IFCT2017
C001,agathi leaves,Agathi leaves,agasthi,agasthi,Green Leafy Vegetables,raw,70.5,8,5.2,1.4,8.6,yes,IFCT2017
C002,amaranth leaves,"Amaranth leaves, green",chaulai,chaulai,Green Leafy Vegetables,raw,30.6,3.3,2.3,0.7,4.4,yes,IFCT2017
C003,amaranth leaves,"Amaranth leaves, red mix",chaulai,,Green Leafy Vegetables,raw,33.5,3.9,2.4,0.6,4.9,variant,IFCT2017
C004,amaranth leaves,"Amaranth leaves, red and green mix",chaulai,,Green Leafy Vegetables,raw,31.5,3.1,2.9,0.5,4.6,variant,IFCT2017
C005,amaranth spinosus,"Amaranth spinosus, leaves, green mix",kantewali-notya,kantewali notya,Green Leafy Vegetables,raw,26.3,3.5,1.6,0.4,5.1,yes,IFCT2017
C006,amaranth spinosus,"Amaranth spinosus, leaves, red and green mix",kantewali-notya,,Green Leafy Vegetables,raw,23.7,2.8,1.5,0.3,5.6,variant,IFCT2017
C007,basella leaves,Basella leaves,palak,,Green Leafy Vegetables,raw,19.6,1.6,2,0.5,2.2,yes,IFCT2017
C008,bathua leaves,Bathua leaves,bathua sagu,bathua sagu,Green Leafy Vegetables,raw,27.7,2.5,2.6,0.4,4,yes,IFCT2017
C009,beet greens,Beet greens,chukandhar sag,chukandhar sag,Green Leafy Vegetables,raw,34.7,2.4,3.9,0.8,3.6,yes,IFCT2017
C010,betel leaves,"Betel leaves, big (kolkata)",pan ka patha,,Green Leafy Vegetables,raw,48.3,2.5,7.4,0.8,2.1,variant,IFCT2017
C011,betel leaves,"Betel leaves, small",pan ka patha,pan ka patha,Green Leafy Vegetables,raw,43.7,2.6,6.2,0.8,2,yes,IFCT2017
C012,brussels sprouts,Brussels sprouts,choote gobi,choote gobi,Green Leafy Vegetables,raw,44.2,4.3,5.1,0.5,4.3,yes,IFCT2017
C013,cabbage,"Cabbage, Chinese",,,Green Leafy Vegetables,raw,17.9,1.6,2.4,0.1,2,variant,IFCT2017
C014,cabbage,"Cabbage, collard greens",,,Green Leafy Vegetables,raw,30.1,3.6,2.8,0.3,3,variant,IFCT2017
C015,cabbage,"Cabbage, green",bandh gobi,patta gobi; bandh gobi,Green Leafy Vegetables,raw,21.5,1.4,3.3,0.1,2.8,yes,IFCT2017
C016,cabbage,"Cabbage, violet",bandh gobi,,Green Leafy Vegetables,raw,23.2,1.4,3.5,0.2,2.2,variant,IFCT2017
C017,cauliflower leaves,Cauliflower leaves,phul gobi patta,phul gobi patta,Green Leafy Vegetables,raw,35.4,3.9,3.4,0.4,3.4,yes,IFCT2017
C018,colocasia leaves,"Colocasia leaves, green",arvi ka sag,arvi ka sag,Green Leafy Vegetables,raw,43.5,3.4,3.7,1.4,5.6,yes,IFCT2017
C019,drumstick leaves,Drumstick leaves,saijan patta,saijan patta,Green Leafy Vegetables,raw,67.4,6.4,5.6,1.6,8.2,yes,IFCT2017
C020,fenugreek leaves,Fenugreek leaves,methi sag,methi sag,Green Leafy Vegetables,raw,34.4,3.7,2.2,0.8,4.9,yes,IFCT2017
C021,garden cress,Garden cress,halim ka patta,halim ka patta,Green Leafy Vegetables,raw,49.7,5.6,4.5,0.8,2.6,yes,IFCT2017
C022,gogu leaves,"Gogu leaves, green",pitwa,,Green Leafy Vegetables,raw,36.3,1.9,4.1,1.1,4.6,variant,IFCT2017
C023,gogu leaves,"Gogu leaves, red",pitwa,pitwa,Green Leafy Vegetables,raw,36.6,1.9,4.2,1.1,3.9,yes,IFCT2017
C024,knol-khol,"Knol-Khol, leaves",ganth gobi ka sag,ganth gobi ka sag,Green Leafy Vegetables,raw,42.5,3.1,6.2,0.4,2.8,yes,IFCT2017
C025,lettuce,Lettuce,salad ka patta,salad ka patta,Green Leafy Vegetables,raw,21.7,1.5,3,0.3,1.8,yes,IFCT2017
C026,mustard leaves,Mustard leaves,sarson ka sag,sarson ka sag,Green Leafy Vegetables,raw,30.4,3.5,2.4,0.5,3.9,yes,IFCT2017
C027,pak choi leaves,Pak Choi leaves,,,Green Leafy Vegetables,raw,16,1.4,1.8,0.3,1.9,yes,IFCT2017
C028,parsley,Parsley,,,Green Leafy Vegetables,raw,72.9,5.6,9.4,1.1,3.9,yes,IFCT2017
C029,ponnaganni,Ponnaganni,saranthi sag,saranthi sag,Green Leafy Vegetables,raw,50.9,5.3,5.2,0.7,6.7,yes,IFCT2017
C030,pumpkin leaves,"Pumpkin leaves, tender",kumhra sag,kumhra sag,Green Leafy Vegetables,raw,44.2,4.2,4.8,0.7,2.3,yes,IFCT2017
C031,radish leaves,Radish leaves,muli ka sag,muli ka sag,Green Leafy Vegetables,raw,26.1,2.2,2.8,0.5,1.8,yes,IFCT2017
C032,rumex leaves,Rumex leaves,,,Green Leafy Vegetables,raw,19.6,1.6,2.3,0.3,1.3,yes,IFCT2017
C033,spinach,Spinach,palak,palak,Green Leafy Vegetables,raw,24.4,2.1,2.1,0.6,2.4,yes,IFCT2017
C034,tamarind leaves,"Tamarind leaves, tender",", p. imli patte",p. imli patte,Green Leafy Vegetables,raw,71.5,5.8,10,0.5,10.7,yes,IFCT2017
D001,ash gourd,Ash gourd,petha,petha,Other Vegetables,raw,17.4,0.8,2.8,0.1,3.4,yes,IFCT2017
D002,bamboo shoot,"Bamboo shoot, tender",baans,baans,Other Vegetables,raw,16.3,1.3,1.7,0.4,1.6,yes,IFCT2017
D003,bean scarlet,"Bean scarlet, tender",sem,,Other Vegetables,raw,42.8,2.9,5.2,1,4.5,yes,IFCT2017
D004,bitter gourd,"Bitter gourd, jagged, teeth ridges, elongate",karela,,Other Vegetables,raw,20.8,1.4,2.8,0.2,3.8,variant,IFCT2017
